v0,v1,v2
1,0,85
14,13,117
68,75,6
232,208,231
120,105,96
82,10,78
124,137,123
30,29,89
75,68,4
74,77,4
85,2,1
105,13,12
67,66,88
211,213,210
64,97,65
66,65,97
59,58,90
69,85,83
27,26,239
88,84,85
10,84,11
136,84,88
114,90,212
79,75,77
79,83,82
18,17,86
60,59,90
83,84,82
77,72,83
119,127,135
106,198,18
62,126,119
81,79,82
70,6,76
9,81,80
80,81,82
75,76,6
0,67,88
11,96,105
104,197,198
105,12,11
199,216,197
81,9,8
240,51,223
10,82,84
97,88,66
103,86,17
15,173,172
83,85,84
172,103,17
96,11,84
165,29,28
107,231,104
197,20,19
23,237,93
104,106,107
4,3,74
58,57,171
86,106,18
32,131,125
14,174,173
149,145,133
22,237,23
200,220,218
60,90,114
107,106,86
56,54,171
63,135,64
55,54,56
88,85,0
63,62,119
240,54,53
52,51,240
43,94,206
111,112,218
76,8,70
80,82,78
110,58,171
238,27,239
98,170,195
87,140,48
79,76,75
46,87,47
89,124,122
85,69,2
157,156,143
206,234,43
40,39,95
42,41,166
25,24,91
93,208,230
43,42,166
136,88,97
87,48,47
173,103,172
50,49,48
175,117,120
95,201,40
76,79,81
29,165,92
72,71,83
140,87,142
29,92,89
6,5,68
72,77,73
230,164,23
73,77,74
8,7,70
25,168,26
75,4,77
122,118,30
25,91,168
30,118,31
131,118,125
162,115,163
102,37,115
127,97,135
160,36,113
71,69,83
151,34,33
34,151,113
36,35,113
130,108,122
110,90,58
155,160,100
61,101,62
189,134,191
77,83,79
95,38,201
76,81,8
38,102,201
110,171,99
199,197,104
150,100,151
179,174,177
187,146,185
108,118,122
145,150,151
101,146,126
174,179,103
112,110,99
212,210,101
112,99,217
207,168,91
240,200,217
191,192,190
34,113,35
160,113,100
101,61,114
61,60,114
41,40,202
121,120,96
179,181,86
13,105,117
117,105,120
122,30,89
118,108,125
126,62,101
119,109,127
127,121,136
120,116,175
180,186,182
116,120,121
124,138,137
124,123,143
123,141,142
147,153,157
137,138,128
143,130,124
125,108,144
33,32,133
214,192,213
119,126,187
109,121,127
136,121,96
165,27,244
128,139,141
206,205,236
203,154,159
124,130,122
148,144,108
32,31,131
118,131,31
129,148,130
155,150,161
32,125,133
125,144,149
170,98,168
181,182,215
64,135,97
119,135,63
84,136,96
97,127,136
138,124,89
242,241,219
89,92,138
243,138,92
50,48,140
123,137,141
141,139,142
140,139,225
128,141,137
142,139,140
46,147,87
142,87,147
157,123,142
129,130,143
148,108,130
132,145,149
145,132,150
33,133,145
210,192,146
188,185,146
45,158,152
143,156,129
236,229,235
132,144,148
125,149,133
132,149,144
159,150,132
163,37,155
151,100,113
33,145,151
158,147,152
147,46,152
45,229,158
203,132,148
166,162,94
100,150,155
159,161,150
157,143,123
229,156,153
147,157,142
156,157,153
167,234,235
147,158,153
203,159,132
161,159,154
162,161,154
155,37,160
163,161,162
94,162,154
162,41,202
37,163,115
155,161,163
28,27,165
91,24,164
244,27,238
162,166,41
43,166,94
154,203,204
228,229,205
207,170,168
26,168,98
91,208,207
176,182,181
169,196,189
193,195,170
56,171,57
54,99,171
17,16,172
15,172,16
15,14,173
117,175,14
116,177,174
103,173,174
116,174,175
14,175,174
177,116,178
177,178,176
178,116,121
177,176,179
109,184,121
180,184,185
181,179,176
103,179,86
176,178,183
183,178,184
176,183,182
86,181,107
180,188,186
182,186,196
178,121,184
182,183,180
185,184,109
180,183,184
187,185,109
209,188,146
189,186,134
186,189,196
119,187,109
146,187,126
186,188,134
180,185,188
192,191,209
169,189,193
195,190,194
191,193,189
191,134,209
193,191,190
210,146,101
111,213,112
214,194,190
193,170,169
220,222,226
241,243,245
190,195,193
195,194,246
208,233,207
215,196,232
198,197,19
231,199,104
18,198,19
104,198,106
237,199,93
197,216,20
220,200,227
217,218,112
102,115,201
201,115,202
201,202,40
162,202,115
228,148,129
154,204,94
205,204,203
206,204,205
228,203,148
129,156,229
235,229,45
94,204,206
230,208,91
169,170,207
231,208,93
169,233,196
188,209,134
146,192,209
212,101,114
90,110,211
110,112,211
211,112,213
90,211,212
210,212,211
214,213,111
213,192,210
194,214,111
192,214,190
181,215,107
182,196,215
240,217,99
199,21,216
218,217,200
223,227,200
218,226,111
224,50,225
241,128,243
223,51,221
220,219,222
50,224,221
224,227,221
241,222,219
226,194,111
223,200,240
50,140,225
219,220,227
242,139,128
219,224,225
220,226,218
194,226,222
221,227,223
219,227,224
229,228,129
203,228,205
229,153,158
167,235,45
164,230,91
93,230,23
231,93,199
232,231,107
215,232,107
232,196,233
207,233,169
232,233,208
44,234,167
43,234,44
234,206,236
229,236,205
234,236,235
22,21,237
199,237,21
98,246,238
245,243,244
26,98,239
238,239,98
54,240,99
53,52,240
242,219,225
138,243,128
139,242,225
128,241,242
92,244,243
246,245,238
165,244,92
245,244,238
194,222,245
241,245,222
195,246,98
245,246,194
