lon,lat
7.652240686908598377e+01,1.173794844109402469e+01
7.652113730805966441e+01,1.173789554651146183e+01
7.651928575257826992e+01,1.173974704821823956e+01
7.651917994592461980e+01,1.174397911414763840e+01
7.651923290271830069e+01,1.174397910361789599e+01
7.651923286391507872e+01,1.174413773432861419e+01
7.651928574558182561e+01,1.174413781457288408e+01
7.651928578247073176e+01,1.174429644487568325e+01
7.651933866367167525e+01,1.174429643472135076e+01
7.651933871400298415e+01,1.174440227850400120e+01
7.652039670568872509e+01,1.174540736337262281e+01
7.652066117900449171e+01,1.174672986359158955e+01
7.651521247665685621e+01,1.175085611160087673e+01
7.651489504204764103e+01,1.175678091301660544e+01
7.652066118523111982e+01,1.177069360760526884e+01
7.652055539089316483e+01,1.178063878723821389e+01
7.652203655723101861e+01,1.178561140169123966e+01
7.653055349101821037e+01,1.178608744826712140e+01
7.653224626557974375e+01,1.178767448487279701e+01
7.653309268926003028e+01,1.179677324639843583e+01
7.653806532045582856e+01,1.180306840382228195e+01
7.655049680721091931e+01,1.180391476125750394e+01
7.656054780040450680e+01,1.180000019138946143e+01
7.656245220435859267e+01,1.179703773409345580e+01
7.657260897808677669e+01,1.179280576635510691e+01
7.657398438692862896e+01,1.179005496533504527e+01
7.657768742638927506e+01,1.179031944209943639e+01
7.658906085899074867e+01,1.178682804035016751e+01
7.659784231894877848e+01,1.178783312023738006e+01
7.660064602527822331e+01,1.178645771453568258e+01
7.660297360233944630e+01,1.178740991844360586e+01
7.660567151443960654e+01,1.179439278521583745e+01
7.661164918346332797e+01,1.180105813274817628e+01
7.662450388777457988e+01,1.180592495311072554e+01
7.662598512075696533e+01,1.180978668670070419e+01
7.663196282628757672e+01,1.181518243096218868e+01
7.663878691667085263e+01,1.181259036662612871e+01
7.664746248156845354e+01,1.180365027331717975e+01
7.665862441057387855e+01,1.180306837330964420e+01
7.666084617789070421e+01,1.179248833146515807e+01
7.665730187824325981e+01,1.179185355198839247e+01
7.665095393289232106e+01,1.178635193066482678e+01
7.665105972290318448e+01,1.177804663736606372e+01
7.664899659339565119e+01,1.177545458443588444e+01
7.664852050028649444e+01,1.176598544620035902e+01
7.663201569044599637e+01,1.176032517212814632e+01
7.662180596408400390e+01,1.174969229585726005e+01
7.660916290140015406e+01,1.174741756321674480e+01
7.660757588499510007e+01,1.174911036114080787e+01
7.660445478831843502e+01,1.174863424031012293e+01
7.660318519490536460e+01,1.175075022114797108e+01
7.659461539314285972e+01,1.174233911614914483e+01
7.659461535134209953e+01,1.173816008524996235e+01
7.658757971827093058e+01,1.173488023240865807e+01
7.658467017911681296e+01,1.173197079021931621e+01
7.658461727797033802e+01,1.172789742006897562e+01
7.658133747049303963e+01,1.172567564449707689e+01
7.657562426256461663e+01,1.172710399432307860e+01
7.657086330184158385e+01,1.173461575623423236e+01
7.656842986274486407e+01,1.173324034131642613e+01
7.656324565553136097e+01,1.173366354648018373e+01
7.655345921444515511e+01,1.173625567649563983e+01
